ID,RA,DEC,ZBEST
527,51.8195833333333,-27.4691666666667,0.4245699942111969
528,51.81967,-29.03559,0.5514662265777588
529,51.81975,-28.4136944444444,0.8957700133323669
530,51.81993,-29.04431,0.12241768091917038
531,51.82008,-28.07861,0.0893
532,51.8201666666667,-27.91175,0.33504998683929443
533,51.8206,-29.12382,0.41556212306022644
534,51.8209,-28.98491,0.4879324734210968
535,51.82107,-29.1341,0.40764257311820984
536,51.82116,-28.51224,0.6980831027030945
537,51.82159,-29.00489,0.38416123390197754
538,51.82232,-28.56598,0.6175292134284973
539,51.82256,-28.47217,0.22829243540763855
540,51.82258,-28.50754,0.2552222013473511
541,51.82261,-29.15957,0.42228204011917114
542,51.8229,-28.52265,0.5027363300323486
543,51.82308,-29.00118,0.48402079939842224
544,51.82321,-29.04761,0.701300323009491
545,51.823625,-28.0795833333333,0.08872000128030777
546,51.82365,-29.20767,0.7079766392707825
547,51.82366,-29.02655,0.39223143458366394
548,51.82373,-29.20482,0.7069352865219116
549,51.82413,-29.05807,0.7627238631248474
550,51.8242,-29.19779,0.707179069519043
551,51.82468,-28.622,0.6784774661064148
552,51.82511,-28.49409,0.3816675543785095
553,51.825375,-27.96355555555556,0.3343000113964081
554,51.82544,-28.48394,0.2950564920902252
555,51.8255833333333,-28.7084166666667,0.2197899967432022
556,51.82559,-29.24759,0.13927613198757172
557,51.82619,-29.06487,0.5241521000862122
558,51.8262083333333,-28.405,0.6827399730682373
559,51.82635,-28.98049,0.17396439611911774
560,51.8266,-28.55465,0.5004379749298096
561,51.827,-28.60512,0.2334500402212143
562,51.82721,-28.54265,0.5007309317588806
563,51.82728,-28.58854,0.22885726392269135
564,51.82759,-28.45077,0.9576753973960876
565,51.82768,-28.50127,0.17399908602237701
566,51.8279166666667,-28.3160833333333,0.6337000131607056
567,51.8280416666667,-27.8402777777778,0.6514800190925598
568,51.828208333333336,-28.707166666666662,1.003000020980835
569,51.82856,-29.22507,1.1642014980316162
570,51.82875,-29.24942,0.147755
571,51.8288333333333,-28.7149166666667,0.20919999480247498
572,51.82891666666667,-28.778088888888885,0.34209999442100525
573,51.82904,-29.63497,0.108171
574,51.82908,-28.59496,0.22870182991027832
575,51.82962,-29.06403,0.5971275568008423
576,51.82978,-29.03363,0.48115822672843933
577,51.82984,-29.07881,0.503453254699707
578,51.82992,-26.75253,0.1471
579,51.82999,-29.05209,0.2780756652355194
580,51.83002,-29.03943,0.4827028810977936
581,51.83011,-29.06678,0.6004730463027954
582,51.8302083333333,-27.869,0.2711600065231323
583,51.8303,-29.02818,0.8821827173233032
584,51.8306666666667,-27.9785277777778,0.340719997882843
585,51.8309166666667,-27.8938333333333,0.8880800008773804
586,51.83105,-29.09606,0.5046784281730652
587,51.83152,-29.09966,0.260734498500824
588,51.831833333333336,-28.996888888888893,1.4819999933242798
589,51.83191,-28.46257,0.17498868703842163
590,51.83205,-28.51759,0.16480877995491028
591,51.83209,-29.13106,0.10036121308803558
592,51.83278,-29.08298,0.32238829135894775
593,51.8329166666667,-28.3366111111111,0.5365999937057495
594,51.833,-27.6346666666667,0.3687700033187866
595,51.83321,-27.24517,0.0442
596,51.83325,-28.99824,0.6666046380996704
597,51.83383,-28.26292,0.12855
598,51.8340416666667,-27.6897777777778,1.0206799507141113
599,51.8340833333333,-28.4009722222222,0.1604599952697754
600,51.83431,-28.99921,0.8689419031143188
601,51.83435,-28.44689,0.780881941318512
602,51.8345833333333,-28.5117777777778,3.9999998989515007e-05
603,51.8347916666667,-27.6679166666667,0.4127799868583679
604,51.83522,-29.10552,0.27027225494384766
605,51.83543,-29.12472,0.4099474251270294
606,51.83553,-28.13592,0.089762
607,51.83559,-28.52815,0.23538878560066223
608,51.83572,-29.11383,0.10833342373371124
609,51.83596,-27.09175,0.068789
610,51.836,-29.03366,0.4256989657878876
